id,title,type,release_year,age_certification,genres,imdb_score,tmdb_score,stream
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']",6.2,6.3,1
tm56033,Croupier,MOVIE,1998,R,"['drama', 'european', 'crime']",7.0,6.8,1
ts21581,Girlfriends,SHOW,2000,TV-PG,"['drama', 'comedy']",7.2,7.7,1
tm117488,The Next Karate Kid,MOVIE,1994,PG,"['action', 'drama', 'family', 'sport', 'romance']",4.5,5.318,1
tm190811,Geronimo: An American Legend,MOVIE,1993,PG-13,"['western', 'history', 'drama']",6.5,6.3,1
tm191431,Double Team,MOVIE,1997,R,"['action', 'scifi', 'comedy', 'thriller']",4.8,5.1,1
tm10811,Heavy,MOVIE,1995,R,"['drama', 'romance']",6.8,6.8,1
tm49839,The Players Club,MOVIE,1998,R,"['comedy', 'drama']",5.9,6.3,1
ts20918,The Parkers,SHOW,1999,TV-PG,['comedy'],6.8,8.1,1
ts21693,"Sister, Sister",SHOW,1994,TV-PG,"['comedy', 'drama', 'family']",6.2,7.5,1
ts20939,Moesha,SHOW,1996,TV-PG,"['drama', 'comedy', 'family']",5.8,7.0,1
ts21684,Heartbreak High,SHOW,1994,TV-MA,"['drama', 'romance', 'comedy']",7.8,7.3,1
ts22080,Oggy and the Cockroaches,SHOW,1999,TV-Y7,"['animation', 'comedy', 'family', 'action', 'european']",7.4,7.5,1
tm67635,Kuch Kuch Hota Hai,MOVIE,1998,G,"['romance', 'comedy', 'drama']",7.6,7.7,1
tm320211,Children of God,MOVIE,1994,,['documentation'],6.3,6.4,1
tm7073,Knight Rider 2000,MOVIE,1991,G,"['action', 'scifi']",4.5,5.1,1
ts28516,Okupas,SHOW,2000,TV-MA,"['drama', 'crime']",9.0,8.8,1
tm117873,Hum Aapke Hain Koun..!,MOVIE,1994,,"['drama', 'romance', 'comedy']",7.5,6.5,1
tm55100,Dil Se..,MOVIE,1998,PG-13,"['drama', 'romance']",7.5,6.8,1
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,"['comedy', 'documentation']",7.9,7.6,1
ts22039,H,SHOW,1998,TV-MA,['comedy'],7.4,7.6,1
tm188606,Sankofa,MOVIE,1993,,"['drama', 'european']",7.0,6.5,1
tm41525,Herod's Law,MOVIE,1999,R,"['comedy', 'crime', 'thriller']",7.8,7.9,1
tm189171,Wild Tango,MOVIE,1993,R,"['drama', 'music', 'romance']",6.7,6.1,1
tm63514,The Last Days,MOVIE,1998,PG-13,"['drama', 'history', 'war', 'documentation']",7.9,7.8,1
tm21911,Sam Kinison: Live in Vegas,MOVIE,1991,,"['comedy', 'music', 'documentation']",6.6,6.0,1
tm188970,Bill Hicks: Revelations,MOVIE,1993,,"['comedy', 'documentation']",8.5,8.1,1
tm12876,Bombay,MOVIE,1995,,"['drama', 'romance']",8.1,7.2,1
ts224786,Escalona,SHOW,1991,TV-MA,['drama'],,7.6,1
tm62176,Mann,MOVIE,1999,,"['drama', 'romance']",6.1,6.7,1
tm52871,Soldier,MOVIE,1998,,"['thriller', 'action', 'drama', 'romance']",6.2,5.7,1
tm8687,Sam Kinison: Family Entertainment Hour,MOVIE,1991,,['comedy'],,6.1,1
tm104933,Sinbad: Son of a Preacher Man,MOVIE,1996,,"['comedy', 'documentation']",6.8,5.8,1
tm184326,Damini,MOVIE,1993,,"['drama', 'crime']",7.8,7.3,1
tm62385,Hum Saath Saath Hain,MOVIE,1999,G,"['romance', 'family', 'fantasy', 'drama']",6.2,6.0,1
tm191614,Destiny,MOVIE,1997,,"['drama', 'history', 'comedy', 'romance']",7.1,6.7,1
tm110766,Chronicle of a Disappearance,MOVIE,1996,,['drama'],6.9,6.7,1
tm9898,Muthu,MOVIE,1995,G,"['comedy', 'drama', 'action', 'romance']",7.6,6.9,1
