sa_id,p_id,sa_netflix,sa_hulu,sa_primevid,sa_disney
564,ts160526,1,0,0,0
565,tm340006,1,0,0,0
566,tm154375,1,0,0,0
567,tm134140,1,0,0,0
568,tm27484,1,0,0,0
569,tm81864,1,0,0,0
570,tm241875,1,0,0,0
571,tm29028,1,0,0,0
572,tm164591,1,0,0,0
573,tm130301,1,0,0,0
574,tm712151,1,0,0,0
575,ts12444,1,0,0,0
576,tm91176,1,0,0,0
577,ts95855,1,0,0,0
578,tm143510,1,0,0,0
579,tm308960,1,0,0,0
580,tm144835,1,0,0,0
581,tm135795,1,0,0,0
582,tm34924,1,0,0,0
583,tm49865,1,0,0,0
584,ts39604,1,0,0,0
585,tm598375,1,0,0,0
586,tm96052,1,0,0,0
587,tm62369,1,0,0,0
588,tm32915,1,0,0,0
589,ts1413,1,0,0,0
590,tm254052,1,0,0,0
591,tm91125,1,0,0,0
592,ts8614,1,0,0,0
593,tm100106,1,0,0,0
594,ts188031,1,0,0,0
595,tm85689,1,0,0,0
596,ts25707,1,0,0,0
597,tm38454,1,0,0,0
598,tm57586,1,0,0,0
599,ts23797,1,0,0,0
600,tm76029,1,0,0,0
601,tm42831,1,0,0,0
602,ts70843,1,0,0,0
603,tm216753,1,0,0,0
604,tm168751,1,0,0,0
605,tm101540,1,0,0,0
606,tm142153,1,0,0,0
607,tm92671,1,0,0,0
608,tm88343,1,0,0,0
609,ts23353,1,0,0,0
610,tm628693,1,0,0,0
611,tm155774,1,0,0,0
612,tm46867,1,0,0,0
613,tm95507,1,0,0,0
614,tm75544,1,0,0,0
615,tm144263,1,0,0,0
616,tm21155,1,0,0,0
617,tm85369,1,0,0,0
618,ts126804,1,0,0,0
619,tm341561,1,0,0,0
620,tm140653,1,0,0,0
621,tm311516,1,0,0,0
622,ts29581,1,0,0,0
623,tm152413,1,0,0,0
624,ts82583,1,0,0,0
625,tm130999,1,0,0,0
626,tm28024,1,0,0,0
627,tm1077037,1,0,0,0
628,tm85563,1,0,0,0
629,ts124246,1,0,0,0
630,tm254745,1,0,0,0
631,tm76399,1,0,0,0
632,ts86241,1,0,0,0
633,tm481594,1,0,0,0
634,ts82592,1,0,0,0
635,tm639940,1,0,0,0
636,tm404676,1,0,0,0
637,tm89054,1,0,0,0
638,tm252951,1,0,0,0
639,tm87672,1,0,0,0
640,ts20660,1,0,0,0
641,tm68272,1,0,0,0
642,tm61801,1,0,0,0
643,tm44730,1,0,0,0
644,ts21095,1,0,0,0
645,tm39888,1,0,0,0
646,tm166978,1,0,0,0
647,ts20564,1,0,0,0
648,ts8175,1,0,0,0
649,ts278,1,0,0,0
650,tm170442,1,0,0,0
651,tm41792,1,0,0,0
652,ts21580,1,0,0,0
653,ts32835,1,0,0,0
654,ts21599,1,0,0,0
655,tm32982,1,0,0,0
656,tm60292,1,0,0,0
657,ts27680,1,0,0,0
658,ts20433,1,0,0,0
659,tm171885,1,0,0,0
660,tm158304,1,0,0,0
661,ts17598,1,0,0,0
662,ts20458,1,0,0,0
663,ts20429,1,0,0,0
664,ts20457,1,0,0,0
665,tm178201,1,0,0,0
666,tm36237,1,0,0,0
667,tm40319,1,0,0,0
668,ts6506,1,0,0,0
669,ts9794,1,0,0,0
670,ts33338,1,0,0,0
671,tm39896,1,0,0,0
672,tm74848,1,0,0,0
673,ts27468,1,0,0,0
674,ts20500,1,0,0,0
675,tm168921,1,0,0,0
676,tm160132,1,0,0,0
677,tm49592,1,0,0,0
678,tm167232,1,0,0,0
679,tm38980,1,0,0,0
680,ts20556,1,0,0,0
681,tm69926,1,0,0,0
682,tm60844,1,0,0,0
683,ts9246,1,0,0,0
684,ts27835,1,0,0,0
685,ts20648,1,0,0,0
686,ts18551,1,0,0,0
687,tm62210,1,0,0,0
688,tm106278,1,0,0,0
689,tm182586,1,0,0,0
690,ts36647,1,0,0,0
691,ts81858,1,0,0,0
692,ts34740,1,0,0,0
693,tm176507,1,0,0,0
694,ts21081,1,0,0,0
695,ts27586,1,0,0,0
696,ts19779,1,0,0,0
697,ts22249,1,0,0,0
698,tm178395,1,0,0,0
699,tm173195,1,0,0,0
700,tm69386,1,0,0,0
701,tm174683,1,0,0,0
702,tm72845,1,0,0,0
703,ts34921,1,0,0,0
704,tm170758,1,0,0,0
705,tm174256,1,0,0,0
706,tm56296,1,0,0,0
707,tm160371,1,0,0,0
708,tm183547,1,0,0,0
709,ts34737,1,0,0,0
710,tm59590,1,0,0,0
711,ts34151,1,0,0,0
712,tm161904,1,0,0,0
713,tm44165,1,0,0,0
714,tm53034,1,0,0,0
715,ts32460,1,0,0,0
716,ts26776,1,0,0,0
717,tm164353,1,0,0,0
718,ts39093,1,0,0,0
719,ts33349,1,0,0,0
