732,ts58528,7.3,9.1
733,tm177258,7.5,7.0
734,tm174190,7.7,7.7
735,tm68436,8.1,7.5
736,tm65765,6.0,6.1
737,tm179451,6.2,6.3
738,tm177044,7.1,7.2
739,tm49451,7.0,7.0
740,tm1096916,7.5,8.3
741,tm176128,6.5,6.6
742,tm67444,7.7,6.9
743,tm183176,4.7,6.2
744,tm40860,6.1,7.6
745,tm35700,8.2,7.4
746,tm170395,,6.1
747,tm169053,7.2,6.4
748,tm53395,2.0,5.6
749,tm183037,7.0,7.0
750,tm177958,7.6,7.0
751,ts6879,8.5,8.0
752,tm178106,7.5,7.0
753,tm57610,7.2,6.8
754,tm169354,6.5,5.4
755,tm176111,5.9,6.1
756,tm59372,6.7,6.2
757,tm161804,6.4,6.3
758,tm159593,7.2,6.7
759,ts39112,6.0,8.0
760,tm44615,6.4,6.2
761,tm54780,6.6,6.5
762,ts167724,7.6,
763,ts99814,8.2,
764,tm175909,6.6,6.3
765,ts158608,8.1,
766,tm57382,5.3,4.8
767,tm59289,5.7,6.1
768,tm47171,8.1,7.3
769,tm165712,,7.3
770,tm48239,5.7,5.6
771,tm160021,6.7,6.6
772,tm54371,5.1,5.0
773,tm172883,5.2,5.2
774,tm174518,4.6,5.3
775,tm70528,7.1,5.9
776,tm74031,5.0,5.1
777,tm181856,7.4,6.3
778,tm38013,4.2,5.2
779,tm42306,4.3,5.1
780,ts32561,6.8,7.3
781,tm39606,5.8,6.2
782,tm167241,5.1,3.8
783,ts37864,6.8,7.0
784,tm71992,6.9,6.5
785,tm31948,6.3,7.0
786,tm166810,5.3,5.5
787,tm37573,5.1,4.9
788,tm69915,5.0,5.0
789,tm164090,6.9,6.5
790,tm37175,7.0,6.2
791,tm66725,6.9,6.5
792,tm166740,8.7,5.1
793,tm200838,7.9,7.0
794,ts44064,6.5,8.0
795,tm169128,5.1,2.7
796,tm172353,5.6,5.2
797,tm34746,6.6,6.3
798,tm29400,7.1,6.2
799,tm53360,5.0,6.1
800,tm180532,7.2,6.4
801,tm34142,3.2,6.0
802,ts27875,6.4,7.5
803,tm162592,8.1,8.3
804,ts41114,7.9,
805,tm70652,6.1,5.6
806,tm339197,7.8,
807,tm172211,7.0,6.0
808,tm1077038,,
809,tm57256,3.8,4.4
810,tm529723,7.7,
811,ts128422,6.6,8.3
812,tm53829,5.4,
813,tm51412,6.7,7.1
814,tm38331,6.3,5.9
